epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5095,0.98268,2.77686,1.47979,0.00157,1,0.18006,0.10837,0.39527,4.19928,1.12526,6e-05,6e-05,6e-05
2,30.6235,0.83345,2.65924,1.42687,0.00157,1,0.34955,0.31129,0.29665,4.16511,1.05086,0.000137228,0.000137228,0.000137228
3,44.8552,0.73221,2.21525,1.31174,0.00157,1,0.53675,0.53651,0.2521,4.07488,0.98146,0.000211288,0.000211288,0.000211288
4,78.3532,0.58844,1.63826,1.18555,0.00157,1,0.20335,0.18321,0.37682,4.07785,1.05342,0.00028218,0.00028218,0.00028218
5,100.488,0.59852,1.4097,1.19288,0.00157,1,0.10842,0.07982,0.35664,4.10053,1.06763,0.000349904,0.000349904,0.000349904
6,114.408,0.64679,1.48942,1.26311,0.75398,0.75,0.68989,0.61324,0.33699,3.89573,1.05107,0.00041446,0.00041446,0.00041446
7,128.685,0.64457,1.50721,1.23948,0.93146,0.75,0.81028,0.73329,0.38127,3.83274,1.09037,0.000475848,0.000475848,0.000475848
8,142.82,0.72432,1.45704,1.3049,0.0027,0.875,0.64373,0.6248,0.43129,3.98624,1.1529,0.000534068,0.000534068,0.000534068
9,156.905,0.73257,1.46701,1.24965,0.00157,1,0.37565,0.33396,0.68624,4.20982,1.39166,0.00058912,0.00058912,0.00058912
10,170.909,0.60372,1.36811,1.20881,0.00157,1,0.34897,0.24614,0.92864,4.66802,1.8448,0.000641004,0.000641004,0.000641004
11,185.07,0.75471,1.48021,1.3093,0.93811,0.5,0.66122,0.64611,0.89263,3.77647,1.71724,0.00068972,0.00068972,0.00068972
12,198.781,0.67769,1.298,1.18114,0.53075,0.5,0.47348,0.40088,0.87221,3.95907,1.65658,0.000735268,0.000735268,0.000735268
13,212.282,0.71163,1.28543,1.2385,0.59208,0.5482,0.64337,0.50334,0.76938,3.72713,1.40898,0.000777648,0.000777648,0.000777648
14,225.934,0.78082,1.30951,1.25546,1,0.62401,0.79533,0.70719,0.61296,3.51684,1.30555,0.00081686,0.00081686,0.00081686
15,239.519,0.69828,1.22249,1.15591,1,0.60429,0.80883,0.69405,0.80738,3.80286,1.39875,0.000852904,0.000852904,0.000852904
16,256.435,0.65741,1.11063,1.21882,0.72844,0.67454,0.8347,0.56099,0.99473,4.07624,1.54849,0.00088578,0.00088578,0.00088578
17,274.415,0.71948,1.30091,1.29058,0.59785,0.625,0.73345,0.51773,0.82746,4.11478,1.42447,0.000915488,0.000915488,0.000915488
18,291.601,0.6224,1.129,1.21774,0.96571,0.25,0.49407,0.22512,0.96699,4.21624,1.80017,0.000942028,0.000942028,0.000942028
19,319.47,0.68755,1.19828,1.24004,0.14638,0.32326,0.21813,0.12478,1.02619,4.56229,1.79187,0.0009654,0.0009654,0.0009654
20,348.673,0.63598,1.09095,1.18875,0.36872,0.36621,0.34374,0.25934,1.26471,4.63067,1.80573,0.000985604,0.000985604,0.000985604
21,376.514,0.63572,1.11142,1.20511,0.72235,0.75,0.76937,0.65447,0.74267,2.92312,1.25221,0.00100264,0.00100264,0.00100264
22,397.167,0.55687,1.03403,1.15968,0.99316,0.875,0.923,0.78293,0.72372,2.68178,1.29836,0.00101651,0.00101651,0.00101651
23,422.705,0.63581,1.06929,1.22045,0.99267,0.875,0.91674,0.78558,0.69242,2.75291,1.26484,0.00102721,0.00102721,0.00102721
24,438.072,0.63204,1.07329,1.17453,0.52496,0.75,0.62617,0.48325,0.88982,3.51747,1.43062,0.00103474,0.00103474,0.00103474
25,451.649,0.62952,1.0864,1.24011,0.52409,0.625,0.56495,0.41081,1.17156,4.49089,1.59123,0.0010391,0.0010391,0.0010391
26,465.158,0.6288,1.1231,1.20458,0.51787,0.75,0.62552,0.48198,0.8658,4.04645,1.3578,0.00101,0.00101,0.00101
27,478.801,0.66196,1.08131,1.22753,0.4294,0.75,0.61608,0.43383,0.91339,4.42937,1.40004,0.0009704,0.0009704,0.0009704
28,492.602,0.6302,1.02543,1.17936,0.52894,0.625,0.69722,0.43116,0.93225,4.05308,1.47676,0.0009308,0.0009308,0.0009308
29,506.141,0.61936,1.07633,1.18895,0.55475,0.62319,0.49491,0.35305,1.05652,4.0071,1.63204,0.0008912,0.0008912,0.0008912
30,519.573,0.61156,1.00059,1.13844,0.23578,0.5,0.20326,0.16363,1.20011,4.42355,1.70875,0.0008516,0.0008516,0.0008516
31,532.887,0.68671,1.1321,1.21928,0.19482,0.375,0.1503,0.112,1.22185,4.98586,1.68516,0.000812,0.000812,0.000812
32,546.573,0.61263,0.99916,1.1282,0.24567,0.375,0.18985,0.11139,1.06218,4.25691,1.60686,0.0007724,0.0007724,0.0007724
33,559.856,0.61471,1.05987,1.17215,0.39236,0.72773,0.37474,0.23712,1.01125,3.40324,1.56587,0.0007328,0.0007328,0.0007328
34,573.049,0.5508,0.94008,1.15878,0.65527,0.75,0.67464,0.47842,0.71288,3.38207,1.25377,0.0006932,0.0006932,0.0006932
35,586.465,0.60709,0.94206,1.18446,0.74461,0.75,0.75098,0.60866,0.63851,3.11344,1.24351,0.0006536,0.0006536,0.0006536
36,599.698,0.60631,0.94495,1.17308,0.83445,0.75,0.76313,0.71253,0.5291,2.7405,1.19733,0.000614,0.000614,0.000614
37,612.899,0.57729,0.9085,1.15474,0.83457,0.625,0.7266,0.66739,0.57143,2.71447,1.26362,0.0005744,0.0005744,0.0005744
38,626,0.64477,0.97368,1.19578,0.90853,0.625,0.71996,0.63677,0.63568,2.65667,1.27977,0.0005348,0.0005348,0.0005348
39,638.995,0.54358,0.81406,1.11097,0.82904,0.625,0.81152,0.63991,0.64315,2.78783,1.26245,0.0004952,0.0004952,0.0004952
40,652.158,0.47294,0.80209,1.09866,0.98208,0.75,0.88083,0.67994,0.71478,2.6778,1.26626,0.0004556,0.0004556,0.0004556
41,665.064,0.69513,1.51592,1.22095,0.98471,0.75,0.90611,0.71844,0.56748,2.36125,1.12351,0.000416,0.000416,0.000416
42,678.077,0.71138,1.73191,1.24712,0.8616,0.875,0.91522,0.76796,0.49497,2.11906,1.06191,0.0003764,0.0003764,0.0003764
43,691.228,0.64436,1.52645,1.16094,0.82985,0.875,0.90675,0.81287,0.46366,1.97454,1.04463,0.0003368,0.0003368,0.0003368
44,704.203,0.60387,1.25636,1.09736,0.86506,0.875,0.88216,0.83276,0.41067,1.97014,1.02503,0.0002972,0.0002972,0.0002972
45,717.547,0.63817,1.23719,1.20876,0.88589,0.875,0.88977,0.85912,0.3488,2.01775,1.00073,0.0002576,0.0002576,0.0002576
46,750.102,0.67781,1.25033,1.17696,0.98945,0.875,0.88567,0.85124,0.37208,2.05584,1.00399,0.000218,0.000218,0.000218
47,780.783,0.54527,1.23873,1.10521,0.98902,0.875,0.89048,0.8278,0.38308,2.04333,1.00675,0.0001784,0.0001784,0.0001784
48,809.654,0.55227,1.28621,1.14227,0.97908,0.875,0.91674,0.84863,0.4009,1.99796,1.02009,0.0001388,0.0001388,0.0001388
49,839.037,0.63845,1.33004,1.20464,0.97613,0.875,0.935,0.87309,0.44736,1.95193,1.04325,9.92e-05,9.92e-05,9.92e-05
50,866.829,0.54398,1.17679,1.13674,0.97761,0.875,0.939,0.87469,0.43389,1.89467,1.03339,5.96e-05,5.96e-05,5.96e-05
